,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,Kicking,Kicking,Kicking,Kicking,Punting,Punting,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers,
Rk,Gtm,Date,,Opp.,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Att,Yds,Y/A,TD,Plays,Tot,Avg,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,Pen,Yds,FL,Int,TO,Bowl
1,1,2025-08-30,,New Mexico,W,34,17,,21,31,67.7,251,1,8.1,8.74,146.4,32,201,6.3,3,63,452,7.2,2,2,4,4,4,170,11,9,0,20,8,65,1,0,1,
2,2,2025-09-06,@,Oklahoma,L,13,24,,9,24,37.5,142,0,5.9,5.92,87.2,32,146,4.6,1,56,288,5.1,3,2,1,1,6,249,5,4,3,12,3,32,0,0,0,
3,3,2025-09-13,,Central Michigan,W,63,3,,16,25,64.0,235,1,9.4,8.40,148.2,55,381,6.9,8,80,616,7.7,1,0,9,9,0,0,13,21,1,35,4,45,0,1,1,
4,4,2025-09-20,@,Nebraska,W,30,27,,12,23,52.2,105,0,4.6,4.57,90.5,33,286,8.7,3,56,391,7.0,3,3,3,3,4,164,7,9,0,16,4,39,1,0,1,
5,5,2025-10-04,,Wisconsin,W,24,10,,19,28,67.9,270,1,9.6,10.36,160.6,34,175,5.1,2,62,445,7.2,2,1,3,3,4,197,10,8,1,19,1,10,0,0,0,
6,6,2025-10-11,@,USC,L,13,31,,15,26,57.7,207,2,8.0,6.04,134.6,31,109,3.5,0,57,316,5.5,0,0,1,1,4,146,8,9,0,17,4,37,0,2,2,
7,7,2025-10-18,,Washington,W,24,7,,21,28,75.0,230,2,8.2,9.64,167.6,40,187,4.7,1,68,417,6.1,2,1,3,3,2,90,12,11,0,23,5,35,0,0,0,
8,8,2025-10-25,@,Michigan State,W,31,20,,8,17,47.1,86,0,5.1,5.06,89.6,49,276,5.6,4,66,362,5.5,1,1,4,4,6,288,4,14,2,20,6,61,1,0,1,
9,9,2025-11-01,,Purdue,W,21,16,,13,22,59.1,145,0,6.6,4.55,105.4,39,253,6.5,3,61,398,6.5,0,0,3,3,4,169,7,12,1,20,4,32,1,1,2,
