Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2021-10-21,@,ATL,L,87,113,,31,93,0.333,13,43,0.302,18,50,0.360,0.403,12,13,0.923,10,40,50,16,7,3,15,21,45,94,0.479,15,35,0.429,30,59,0.508,0.559,8,9,0.889,6,49,55,31,8,9,13,16,84.6,109.9,102.9,0.140,0.462,0.441,47.6,51.6,6.8,5.1,0.403,13.2,16.9,0.129,0.559,11.7,13.0,0.085
2,2,2021-10-23,@,TOR,W,103,95,,38,91,0.418,14,42,0.333,24,49,0.490,0.495,13,18,0.722,13,37,50,24,6,6,9,22,34,85,0.400,11,37,0.297,23,48,0.479,0.465,16,23,0.696,11,38,49,17,7,6,12,23,110.5,101.9,93.2,0.198,0.462,0.521,50.5,63.2,6.4,12.5,0.495,8.3,25.5,0.143,0.465,11.2,22.9,0.188
3,3,2021-10-26,,HOU,W,116,106,,43,93,0.462,12,43,0.279,31,50,0.620,0.527,18,25,0.720,14,36,50,25,9,7,15,22,36,86,0.419,16,39,0.410,20,47,0.426,0.512,18,26,0.692,11,38,49,24,7,3,17,21,113.5,103.7,102.2,0.269,0.462,0.558,50.5,58.1,8.8,14.9,0.527,12.6,26.9,0.194,0.512,14.9,23.4,0.209
4,4,2021-10-28,,SAS,W,104,99,,41,89,0.461,18,45,0.400,23,44,0.523,0.562,4,13,0.308,9,36,45,18,4,7,13,19,39,88,0.443,12,30,0.400,27,58,0.466,0.511,9,15,0.600,11,37,48,21,6,11,15,16,107.3,102.1,96.9,0.146,0.506,0.549,48.4,43.9,4.1,12.1,0.562,12.1,19.6,0.045,0.511,13.7,23.4,0.102
5,5,2021-10-29,@,DEN,L,75,106,,23,78,0.295,8,37,0.216,15,41,0.366,0.346,21,27,0.778,6,30,36,14,8,3,15,17,43,83,0.518,11,36,0.306,32,47,0.681,0.584,9,13,0.692,5,46,51,28,8,3,20,24,75.3,106.5,99.5,0.346,0.474,0.417,41.4,60.9,8.0,6.4,0.346,14.3,11.5,0.269,0.584,18.4,14.3,0.108
6,6,2021-10-31,,SAC,W,105,99,,40,90,0.444,12,37,0.324,28,53,0.528,0.511,13,20,0.650,10,35,45,24,8,4,10,20,38,96,0.396,7,36,0.194,31,60,0.517,0.432,16,20,0.800,17,39,56,20,6,3,13,19,108.4,102.2,96.9,0.222,0.411,0.531,44.6,60.0,8.3,6.7,0.511,9.2,20.4,0.144,0.432,11.0,32.7,0.167
7,7,2021-11-02,,MIA,L,110,125,,37,84,0.440,14,42,0.333,23,42,0.548,0.524,22,31,0.710,11,30,41,17,1,3,10,21,43,83,0.518,13,25,0.520,30,58,0.517,0.596,26,30,0.867,9,36,45,25,6,5,7,25,117.8,133.9,93.4,0.369,0.500,0.563,47.7,45.9,1.1,5.2,0.524,9.3,23.4,0.262,0.596,6.8,23.1,0.313
8,8,2021-11-03,@,SAS,W,109,108,,40,93,0.430,8,34,0.235,32,59,0.542,0.473,21,29,0.724,15,41,56,21,10,4,19,23,43,88,0.489,7,21,0.333,36,67,0.537,0.528,15,20,0.750,5,35,40,25,10,10,15,24,102.7,101.7,106.2,0.312,0.366,0.515,58.3,52.5,9.4,6.0,0.473,15.2,30.0,0.226,0.528,13.4,10.9,0.170
9,9,2021-11-06,,BOS,W,107,104,,41,78,0.526,13,39,0.333,28,39,0.718,0.609,12,14,0.857,7,33,40,19,7,6,15,18,42,86,0.488,9,31,0.290,33,55,0.600,0.541,11,16,0.688,8,28,36,20,6,2,11,14,115.7,112.5,92.4,0.179,0.500,0.636,52.6,46.3,7.6,10.9,0.609,15.1,20.0,0.154,0.541,10.6,19.5,0.128
10,10,2021-11-08,,NOP,W,108,92,,43,85,0.506,14,35,0.400,29,50,0.580,0.588,8,13,0.615,9,37,46,27,7,3,13,15,37,87,0.425,9,34,0.265,28,53,0.528,0.477,9,11,0.818,9,30,39,27,7,0,14,16,115.0,98.0,93.9,0.153,0.412,0.595,54.1,62.8,7.5,5.7,0.588,12.5,23.1,0.094,0.477,13.2,19.6,0.103
11,11,2021-11-10,@,CHI,L,107,117,,38,83,0.458,12,33,0.364,26,50,0.520,0.530,19,24,0.792,8,35,43,23,9,4,12,16,45,89,0.506,15,31,0.484,30,58,0.517,0.590,12,14,0.857,8,38,46,26,9,2,11,15,110.8,121.2,96.5,0.289,0.398,0.572,48.3,60.5,9.3,6.9,0.530,11.4,17.4,0.229,0.590,10.4,18.6,0.135
12,12,2021-11-12,@,SAS,W,123,109,,46,100,0.460,18,45,0.400,28,55,0.509,0.550,13,19,0.684,10,38,48,30,9,7,6,18,41,84,0.488,13,30,0.433,28,54,0.519,0.565,14,20,0.700,3,38,41,30,3,3,13,17,121.1,107.3,101.6,0.190,0.450,0.568,53.9,65.2,8.9,13.0,0.550,5.2,20.8,0.130,0.565,12.3,7.3,0.167
13,13,2021-11-15,,DEN,W,111,101,,45,90,0.500,14,36,0.389,31,54,0.574,0.578,7,10,0.700,10,34,44,30,7,2,9,19,40,84,0.476,9,32,0.281,31,52,0.596,0.530,12,17,0.706,10,36,46,20,4,5,12,16,120.2,109.4,92.3,0.111,0.400,0.588,48.9,66.7,7.6,3.8,0.578,8.7,21.7,0.078,0.530,11.6,22.7,0.143
14,14,2021-11-17,@,PHO,L,98,105,,38,91,0.418,16,32,0.500,22,59,0.373,0.505,6,6,1.000,8,41,49,28,5,2,10,14,41,93,0.441,13,39,0.333,28,54,0.519,0.511,10,14,0.714,8,41,49,27,6,7,8,9,102.3,109.6,95.8,0.066,0.352,0.523,50.0,73.7,5.2,3.7,0.505,9.6,16.3,0.066,0.511,7.5,16.3,0.108
15,15,2021-11-19,@,PHO,L,104,112,,37,90,0.411,12,40,0.300,25,50,0.500,0.478,18,23,0.783,10,30,40,25,15,1,10,17,44,85,0.518,14,29,0.483,30,56,0.536,0.600,10,14,0.714,10,43,53,28,7,4,18,22,106.1,114.2,98.1,0.256,0.444,0.519,43.0,67.6,15.3,1.8,0.478,9.1,18.9,0.200,0.600,16.5,25.0,0.118
16,16,2021-11-21,@,LAC,L,91,97,,34,83,0.410,6,30,0.200,28,53,0.528,0.446,17,18,0.944,8,31,39,21,6,5,10,21,36,75,0.480,12,29,0.414,24,46,0.522,0.560,13,18,0.722,8,34,42,18,5,2,15,15,101.8,108.5,89.4,0.217,0.361,0.500,48.1,61.8,6.7,10.9,0.446,9.9,19.0,0.205,0.560,15.3,20.5,0.173
17,17,2021-11-23,@,LAC,W,112,104,OT,39,89,0.438,12,39,0.308,27,50,0.540,0.506,22,27,0.815,12,30,42,22,11,5,15,23,35,85,0.412,10,32,0.313,25,53,0.472,0.471,24,29,0.828,12,35,47,17,5,3,19,24,111.2,103.2,91.2,0.303,0.438,0.555,47.2,56.4,10.9,9.4,0.506,12.9,25.5,0.247,0.471,16.3,28.6,0.282
18,18,2021-11-27,,WAS,L,114,120,,42,89,0.472,14,38,0.368,28,51,0.549,0.551,16,22,0.727,9,26,35,23,7,4,7,21,45,78,0.577,9,24,0.375,36,54,0.667,0.635,21,26,0.808,7,36,43,28,4,4,15,18,119.6,125.9,95.3,0.247,0.427,0.578,44.9,54.8,7.3,7.4,0.551,6.6,20.0,0.180,0.635,14.4,21.2,0.269
19,19,2021-11-29,,CLE,L,96,114,,39,89,0.438,12,39,0.308,27,50,0.540,0.506,6,15,0.400,7,26,33,20,8,7,10,15,45,80,0.563,10,19,0.526,35,61,0.574,0.625,14,18,0.778,5,43,48,29,3,4,20,22,96.6,114.8,99.3,0.169,0.438,0.502,40.7,51.3,8.1,11.5,0.506,9.5,14.0,0.067,0.625,18.5,16.1,0.175
20,20,2021-12-01,@,NOP,W,139,107,,57,83,0.687,18,34,0.529,39,49,0.796,0.795,7,9,0.778,9,25,34,32,7,2,18,19,40,89,0.449,13,37,0.351,27,52,0.519,0.522,14,16,0.875,16,16,32,22,10,1,16,12,149.8,115.3,92.8,0.108,0.410,0.799,51.5,56.1,7.5,3.8,0.795,17.1,36.0,0.084,0.522,14.3,39.0,0.157
21,21,2021-12-03,,NOP,L,91,107,,32,79,0.405,10,34,0.294,22,45,0.489,0.468,17,26,0.654,5,37,42,17,4,3,15,23,37,90,0.411,12,30,0.400,25,60,0.417,0.478,21,28,0.750,13,42,55,30,5,5,10,26,93.1,109.5,97.8,0.329,0.430,0.503,43.3,53.1,4.1,5.0,0.468,14.2,10.6,0.215,0.478,8.9,26.0,0.233
22,22,2021-12-04,,MEM,L,90,97,,31,92,0.337,15,43,0.349,16,49,0.327,0.418,13,19,0.684,14,28,42,19,10,1,15,21,37,76,0.487,9,26,0.346,28,50,0.560,0.546,14,24,0.583,10,42,52,20,10,5,23,23,91.9,99.0,98.0,0.207,0.467,0.448,44.7,61.3,10.2,2.0,0.418,13.0,25.0,0.141,0.546,21.0,26.3,0.184
23,23,2021-12-07,,BRK,L,99,102,,36,90,0.400,9,46,0.196,27,44,0.614,0.450,18,22,0.818,10,29,39,21,6,2,4,15,42,83,0.506,8,26,0.308,34,57,0.596,0.554,10,13,0.769,8,42,50,28,3,4,12,22,108.6,111.8,91.2,0.244,0.511,0.497,43.8,58.3,6.6,3.5,0.450,3.9,19.2,0.200,0.554,11.9,21.6,0.120
