Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_Opp,FGA_Opp,FG%_Opp,3P_Opp,3PA_Opp,3P%_Opp,2P_Opp,2PA_Opp,2P%_Opp,eFG%_Opp,FT_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,TRB_Opp,AST_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2021-10-20,,DEN,L,98,110,,36,87,0.414,14,37,0.378,22,50,0.440,0.494,12,17,0.706,11,34,45,23,9,3,18,18,44,83,0.530,17,39,0.436,27,44,0.614,0.633,5,9,0.556,6,40,46,25,9,1,19,20,98.3,110.3,99.7,0.195,0.425,0.519,49.5,63.9,9.0,6.8,0.494,16.0,21.6,0.138,0.633,17.9,15.0,0.060
2,2,2021-10-22,@,LAL,W,115,105,,42,86,0.488,10,32,0.313,32,54,0.593,0.547,21,28,0.750,7,40,47,31,8,2,12,22,34,86,0.395,15,34,0.441,19,52,0.365,0.483,22,29,0.759,12,34,46,25,7,3,16,26,113.9,104.0,101.0,0.326,0.372,0.585,50.5,73.8,7.9,3.8,0.547,10.9,17.1,0.244,0.483,13.9,23.1,0.256
3,3,2021-10-23,@,POR,L,105,134,,43,89,0.483,9,28,0.321,34,61,0.557,0.534,10,15,0.667,7,31,38,27,6,1,14,19,51,94,0.543,21,50,0.420,30,44,0.682,0.654,11,17,0.647,8,40,48,24,8,5,9,15,103.9,132.7,101.0,0.169,0.315,0.549,44.2,62.8,5.9,2.3,0.534,12.8,14.9,0.112,0.654,8.1,20.5,0.117
4,4,2021-10-27,,SAC,L,107,110,,42,93,0.452,6,22,0.273,36,71,0.507,0.484,17,24,0.708,14,42,56,23,6,6,11,16,42,95,0.442,15,38,0.395,27,57,0.474,0.521,11,15,0.733,8,32,40,28,7,6,12,20,106.5,109.5,100.5,0.258,0.237,0.517,58.3,54.8,6.0,10.5,0.484,9.6,30.4,0.183,0.521,10.6,16.0,0.116
5,5,2021-10-30,,CLE,W,101,92,,39,84,0.464,6,26,0.231,33,58,0.569,0.500,17,27,0.630,8,44,52,27,12,3,15,14,36,91,0.396,14,44,0.318,22,47,0.468,0.473,6,7,0.857,10,37,47,21,8,3,19,21,99.4,90.6,101.6,0.321,0.310,0.527,52.5,69.2,11.8,6.4,0.500,13.5,17.8,0.202,0.473,16.8,18.5,0.066
6,6,2021-11-02,,NOP,W,112,100,,43,82,0.524,9,26,0.346,34,56,0.607,0.579,17,18,0.944,7,35,42,32,8,4,19,17,36,91,0.396,13,39,0.333,23,52,0.442,0.467,15,16,0.938,14,29,43,21,17,6,18,16,112.7,100.7,99.3,0.220,0.317,0.623,49.4,74.4,8.1,7.7,0.579,17.4,19.4,0.207,0.467,15.5,28.6,0.165
7,7,2021-11-04,,HOU,W,123,111,,44,93,0.473,14,31,0.452,30,62,0.484,0.548,21,23,0.913,13,33,46,29,12,8,12,24,38,88,0.432,11,32,0.344,27,56,0.482,0.494,24,28,0.857,7,36,43,25,4,4,19,21,117.6,106.2,104.6,0.247,0.333,0.596,51.7,65.9,11.5,14.3,0.548,10.4,26.5,0.226,0.494,15.9,17.5,0.273
8,8,2021-11-06,,ATL,W,121,117,,45,88,0.511,14,43,0.326,31,45,0.689,0.591,17,21,0.810,5,37,42,26,8,6,12,22,42,97,0.433,13,33,0.394,29,64,0.453,0.500,20,23,0.870,14,36,50,18,3,1,12,16,118.1,114.2,102.4,0.239,0.489,0.622,45.7,57.8,7.8,9.4,0.591,11.0,12.2,0.193,0.500,10.1,27.5,0.206
9,9,2021-11-08,@,SAC,W,109,104,,44,93,0.473,12,30,0.400,32,63,0.508,0.538,9,11,0.818,5,33,38,28,14,9,15,21,37,82,0.451,10,24,0.417,27,58,0.466,0.512,20,26,0.769,8,38,46,18,6,6,24,18,102.2,97.5,106.7,0.118,0.323,0.557,45.2,63.6,13.1,15.5,0.538,13.3,11.6,0.097,0.512,20.4,19.5,0.244
10,10,2021-11-10,,POR,W,119,109,,49,94,0.521,11,28,0.393,38,66,0.576,0.580,10,12,0.833,9,30,39,27,6,6,11,20,44,91,0.484,7,30,0.233,37,61,0.607,0.522,14,16,0.875,14,32,46,24,5,2,16,21,121.0,110.9,98.3,0.128,0.298,0.599,45.9,55.1,6.1,9.8,0.580,10.0,22.0,0.106,0.522,14.0,31.8,0.154
11,11,2021-11-12,@,MEM,W,119,94,,46,94,0.489,18,37,0.486,28,57,0.491,0.585,9,9,1.000,4,42,46,28,12,6,12,22,37,98,0.378,7,33,0.212,30,65,0.462,0.413,13,23,0.565,17,42,59,19,6,6,15,16,114.1,90.2,104.3,0.096,0.394,0.607,43.8,60.9,11.5,9.2,0.585,10.9,8.7,0.096,0.413,12.2,28.8,0.133
12,12,2021-11-14,@,HOU,W,115,89,,42,97,0.433,14,40,0.350,28,57,0.491,0.505,17,20,0.850,12,40,52,19,16,7,10,19,35,85,0.412,7,32,0.219,28,53,0.528,0.453,12,18,0.667,9,39,48,19,7,5,23,19,111.4,86.2,103.3,0.206,0.412,0.543,52.0,45.2,15.5,13.2,0.505,8.6,23.5,0.175,0.453,19.8,18.4,0.141
13,13,2021-11-15,@,MIN,W,99,96,,32,85,0.376,7,31,0.226,25,54,0.463,0.418,28,36,0.778,14,38,52,21,8,2,15,23,31,85,0.365,13,44,0.295,18,41,0.439,0.441,21,27,0.778,13,41,54,18,8,3,21,28,98.0,95.0,101.0,0.424,0.365,0.491,49.1,65.6,7.9,4.9,0.418,12.9,25.5,0.329,0.441,17.8,25.5,0.247
14,14,2021-11-17,,DAL,W,105,98,,41,93,0.441,13,39,0.333,28,54,0.519,0.511,10,14,0.714,8,41,49,27,6,7,8,9,38,91,0.418,16,32,0.500,22,59,0.373,0.505,6,6,1.000,8,41,49,28,5,2,10,14,109.6,102.3,95.8,0.151,0.419,0.529,50.0,65.9,6.3,11.9,0.511,7.5,16.3,0.108,0.505,9.6,16.3,0.066
15,15,2021-11-19,,DAL,W,112,104,,44,85,0.518,14,29,0.483,30,56,0.536,0.600,10,14,0.714,10,43,53,28,7,4,18,22,37,90,0.411,12,40,0.300,25,50,0.500,0.478,18,23,0.783,10,30,40,25,15,1,10,17,114.2,106.1,98.1,0.165,0.341,0.614,57.0,63.6,7.1,8.0,0.600,16.5,25.0,0.118,0.478,9.1,18.9,0.200
16,16,2021-11-21,,DEN,W,126,97,,46,87,0.529,11,36,0.306,35,51,0.686,0.592,23,26,0.885,10,41,51,34,7,3,13,20,33,90,0.367,11,38,0.289,22,52,0.423,0.428,20,28,0.714,12,30,42,20,5,1,10,22,128.0,98.6,98.4,0.299,0.414,0.640,54.8,73.9,7.1,5.8,0.592,11.7,25.0,0.264,0.428,8.9,22.6,0.222
17,17,2021-11-22,@,SAS,W,115,111,,45,88,0.511,12,27,0.444,33,61,0.541,0.580,13,16,0.813,11,33,44,25,10,0,15,18,49,93,0.527,5,20,0.250,44,73,0.603,0.554,8,16,0.500,11,33,44,23,9,4,15,16,114.7,110.7,100.3,0.182,0.307,0.605,50.0,55.6,10.0,0.0,0.580,13.6,25.0,0.148,0.554,13.0,25.0,0.086
