Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Keyshawn Hall,UCF,G,33,33,33.5,5.7,13.3,0.427,1.4,3.8,0.354,4.3,9.5,0.457,0.478,6.0,7.4,0.816,2.1,5.0,7.1,2.4,0.8,0.5,3.0,2.5,18.8
Javon Small,West Virginia,G,32,32,36.1,5.7,13.7,0.418,2.6,7.3,0.353,3.1,6.3,0.493,0.513,4.6,5.2,0.880,0.5,3.6,4.1,5.6,1.5,0.3,2.7,1.5,18.6
JT Toppin,Texas Tech,F,33,33,27.2,7.5,13.5,0.554,0.5,1.7,0.327,6.9,11.8,0.586,0.574,2.8,4.1,0.676,3.2,6.2,9.4,1.2,0.8,1.5,1.5,2.3,18.2
Darius Johnson,UCF,G,37,37,34.4,5.6,12.8,0.434,2.5,6.4,0.396,3.1,6.5,0.471,0.532,3.8,4.5,0.827,0.7,2.6,3.4,4.3,2.2,0.2,2.9,2.9,17.4
Curtis Jones,Iowa State,G,34,9,30.5,5.8,13.5,0.430,2.6,6.9,0.374,3.2,6.6,0.489,0.526,3.2,3.8,0.845,0.4,3.8,4.2,2.3,1.1,0.2,1.4,1.6,17.4
Hunter Dickinson,Kansas,C,34,34,30.1,7.1,13.5,0.526,0.5,1.7,0.276,6.6,11.8,0.562,0.543,2.7,3.6,0.748,2.8,7.2,10.0,2.1,1.0,1.3,2.2,2.2,17.4
Caleb Love,Arizona,G,37,37,34.1,5.8,14.5,0.398,2.6,7.8,0.340,3.1,6.8,0.464,0.489,3.0,3.4,0.889,0.4,4.1,4.4,3.4,1.2,0.3,1.9,1.2,17.2
Richie Saunders,Brigham Young,G,35,35,29.5,5.8,11.1,0.518,2.3,5.2,0.432,3.5,5.9,0.594,0.619,2.7,3.3,0.835,1.4,3.1,4.5,1.6,1.2,0.4,1.3,1.9,16.5
Norchad Omier,Baylor,F,35,35,31.7,5.8,10.5,0.556,0.6,2.0,0.290,5.3,8.5,0.617,0.583,3.5,4.7,0.750,4.1,6.7,10.8,1.5,1.2,0.9,2.4,3.5,15.7
LJ Cryer,Houston,G,40,40,32.7,5.2,12.5,0.411,3.1,7.3,0.424,2.1,5.3,0.393,0.534,2.4,2.6,0.895,0.4,2.0,2.4,2.0,0.9,0.1,1.1,1.4,15.7
Gabe Madsen,Utah,G,33,33,29.7,4.8,13.0,0.371,3.1,9.5,0.322,1.8,3.5,0.509,0.489,2.5,2.9,0.854,0.2,2.4,2.6,2.5,1.0,0.1,1.9,1.5,15.2
Darrion Williams,Texas Tech,F,34,34,30.0,5.5,12.5,0.439,1.4,4.1,0.340,4.1,8.3,0.488,0.495,2.7,3.2,0.836,1.6,3.9,5.5,3.6,1.3,0.4,1.9,2.2,15.1
V.J. Edgecombe,Baylor,G,33,33,32.7,5.0,11.5,0.436,1.6,4.6,0.340,3.5,6.9,0.500,0.504,3.4,4.3,0.782,2.0,3.6,5.6,3.2,2.1,0.6,1.9,2.5,15.0
Tucker DeVries,West Virginia,G,8,8,34.5,4.4,10.6,0.412,3.3,6.9,0.473,1.1,3.8,0.300,0.565,2.9,3.5,0.821,0.6,4.3,4.9,2.8,1.8,1.5,1.9,2.9,14.9
Zeke Mayo,Kansas,G,34,32,31.7,4.9,11.1,0.447,2.6,6.2,0.422,2.3,4.9,0.479,0.565,2.1,2.5,0.833,0.3,4.5,4.8,2.9,0.7,0.1,2.5,1.1,14.6
