player,age,G,GS,MP,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS_per_G,team
Kevin Durant,30,49,49,35.6,9.7,19.0,.509,1.9,5.0,.381,7.8,14.0,.555,.559,6.7,7.3,.906,0.4,6.9,7.3,5.9,0.8,1.2,3.3,1.9,27.9,GSW
Stephen Curry,30,38,38,34.4,9.8,19.9,.491,5.2,11.6,.446,4.6,8.3,.554,.621,4.6,5.0,.931,0.7,4.4,5.1,5.4,1.2,0.4,2.8,2.6,29.3,GSW
Klay Thompson,28,49,49,34.2,8.6,18.5,.462,2.9,7.6,.380,5.7,10.9,.519,.540,1.8,2.3,.811,0.4,3.6,4.0,2.0,1.2,0.7,1.6,2.2,21.8,GSW
Draymond Green,28,35,35,31.3,2.7,6.6,.417,0.6,2.4,.262,2.1,4.2,.507,.465,1.0,1.3,.723,1.0,6.9,8.0,7.3,1.6,0.9,2.6,3.2,7.1,GSW
Andre Iguodala,35,44,11,23.4,2.1,4.5,.472,0.7,2.1,.344,1.4,2.4,.587,.553,0.7,1.2,.608,0.7,3.0,3.8,3.1,0.9,0.8,0.8,1.3,5.7,GSW
Kevon Looney,22,49,22,21.1,2.9,4.7,.618,0.0,0.2,.111,2.9,4.5,.639,.621,0.9,1.4,.614,2.7,3.3,6.0,1.9,0.5,0.8,0.7,2.9,6.7,GSW
DeMarcus Cousins,28,4,4,21.0,4.8,10.3,.463,1.3,2.3,.556,3.5,8.0,.438,.524,2.8,3.5,.786,1.3,6.0,7.3,3.5,1.0,0.8,1.8,4.3,13.5,GSW
Jonas Jerebko,31,47,6,19.0,2.5,5.4,.472,1.1,2.9,.365,1.5,2.4,.600,.571,1.0,1.2,.825,1.2,3.7,4.9,1.6,0.3,0.2,0.7,2.2,7.1,GSW
Damian Jones,23,24,22,17.1,2.2,3.1,.716,0.0,0.0,,2.2,3.1,.716,.716,1.0,1.5,.649,1.3,1.8,3.1,1.2,0.5,1.0,0.7,2.6,5.4,GSW
Shaun Livingston,33,38,0,15.4,1.9,3.9,.483,0.0,0.1,.000,1.9,3.9,.490,.483,0.9,1.1,.814,0.7,1.3,2.0,2.0,0.5,0.4,0.6,1.3,4.7,GSW
Quinn Cook,25,41,8,14.9,3.0,6.4,.475,1.2,2.8,.417,1.9,3.6,.521,.567,0.4,0.5,.750,0.3,1.9,2.2,1.7,0.3,0.1,0.8,1.4,7.6,GSW
Alfonzo McKinnie,26,40,0,14.6,2.1,4.4,.472,0.7,1.9,.360,1.4,2.5,.554,.548,0.4,0.7,.519,1.3,2.5,3.8,0.4,0.2,0.2,0.5,2.0,5.2,GSW
Damion Lee,26,16,0,12.2,1.7,3.6,.466,0.8,1.9,.419,0.9,1.7,.519,.578,0.7,0.8,.846,0.2,1.6,1.8,0.2,0.5,0.0,0.5,1.2,4.9,GSW
Jordan Bell,24,44,1,10.9,1.2,2.4,.519,0.0,0.0,.000,1.2,2.3,.524,.519,0.3,0.5,.667,0.7,1.8,2.5,1.2,0.3,0.8,0.5,1.2,2.8,GSW
Marcus Derrickson,22,6,0,5.7,1.0,2.5,.400,0.3,1.2,.286,0.7,1.3,.500,.467,0.5,0.7,.750,0.3,0.3,0.7,0.0,0.0,0.2,0.5,1.3,2.8,GSW
Jacob Evans,21,23,0,4.3,0.3,1.1,.240,0.0,0.3,.167,0.2,0.8,.263,.260,0.0,0.0,.000,0.0,0.3,0.4,0.6,0.0,0.0,0.3,0.6,0.6,GSW
